"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG367","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG460","Grade 6 (G6) - London","63465","74766","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG245","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG386","Grade 6 (G6) - London","63465","74766","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG402","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG367","Grade 6 (G6) - London","63465","74766","Finance Advisor","1.00","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG367","Grade 6 (G6) - London","63465","74766","Policy Advisor","0.90","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG367","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG460","Grade 6 (G6) - London","63465","74766","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG361","Grade 6 (G6) - London","63465","74766","Project Delivery Advisor","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG425","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG417","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG397","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG369","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG369","Grade 6 (G6) - London","63465","74766","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG248","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG329","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG386","Grade 6 (G6) - London","63465","74766","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG248","Grade 6 (G6) - London","63465","74766","Policy Advisor","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG329","Grade 6 (G6) - London","63465","74766","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG321","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","0.86","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG324","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG324","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG324","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG321","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG321","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG321","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG325","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG386","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG406","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG406","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG440","Grade 7 (G7) - London","53132","62477","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG406","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG406","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG406","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG406","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG483","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG483","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG483","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","0.50","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG483","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG325","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG325","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG325","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.75","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG448","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG325","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG325","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG325","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG440","Grade 7 (G7) - London","53132","62477","Economics Advisor","1.00","Economics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG440","Grade 7 (G7) - London","53132","62477","Economics Advisor","1.00","Economics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG131","Grade 7 (G7) - London","53132","62477","Economics Advisor","1.00","Economics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG406","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG406","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG440","Grade 7 (G7) - London","53132","62477","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG440","Grade 7 (G7) - London","53132","62477","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG440","Grade 7 (G7) - London","53132","62477","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG440","Grade 7 (G7) - London","53132","62477","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG440","Grade 7 (G7) - London","53132","62477","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG488","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG488","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG488","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG488","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG488","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG488","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG488","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG488","Grade 7 (G7) - London","53132","62477","Project Delivery Advisor","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG404","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG414","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG471","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG414","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG414","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG414","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","0.60","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.91","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.40","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG505","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Project Delivery Advisor","0.60","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Project Delivery Advisor","0.78","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Project Delivery Advisor","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Project Delivery Advisor","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Project Delivery Advisor","0.86","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG387","Grade 7 (G7) - London","53132","62477","Project Delivery Advisor","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG471","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.69","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG471","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG471","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG471","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG471","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG471","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG471","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG414","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG414","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG414","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG414","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG414","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG361","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG361","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG361","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG245","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG186","Grade 7 (G7) - London","53132","62477","Knowledge & Information Management (KIM) Advisor","1.00","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG186","Grade 7 (G7) - London","53132","62477","Knowledge & Information Management (KIM) Advisor","1.00","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG245","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG142","Grade 7 (G7) - London","53132","62477","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG142","Grade 7 (G7) - London","53132","62477","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG402","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG402","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG402","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG402","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG425","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","0.80","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG425","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG367","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG367","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG367","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG402","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG460","Grade 7 (G7) - London","53132","62477","Social Research Advisor","1.00","Social Research","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG245","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG367","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG367","Grade 7 (G7) - London","53132","62477","Policy Advisor","0.88","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG245","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG460","Grade 7 (G7) - London","53132","62477","Statistics Advisor","1.00","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG245","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","0.86","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG361","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG361","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG361","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG417","Grade 7 (G7) - London","53132","62477","Communications Advisor","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG417","Grade 7 (G7) - London","53132","62477","Communications Advisor","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG417","Grade 7 (G7) - London","53132","62477","Communications Advisor","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG417","Grade 7 (G7) - London","53132","62477","Communications Advisor","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG417","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG417","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG425","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG425","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG425","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG417","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG506","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG245","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG386","Grade 7 (G7) - London","53132","62477","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG484","Grade 7 (G7) - London","53132","62477","Communications Advisor","1.00","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG369","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG369","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","0.90","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG369","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG369","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG484","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG484","Grade 7 (G7) - London","53132","62477","Operational Delivery Advisor","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG248","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG329","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG329","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG386","Grade 7 (G7) - London","53132","62477","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG386","Grade 7 (G7) - London","53132","62477","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG386","Grade 7 (G7) - London","53132","62477","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG386","Grade 7 (G7) - London","53132","62477","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG386","Grade 7 (G7) - London","53132","62477","Planning Advisor","1.00","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG248","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG329","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG329","Grade 7 (G7) - London","53132","62477","Policy Advisor","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG329","Grade 7 (G7) - London","53132","62477","Project Delivery Advisor","1.00","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG321","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG324","Higher Executive Officer (HEO) - London","33210","38300","Operational Delivery Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG382","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG324","Higher Executive Officer (HEO) - London","33210","38300","Policy Manager","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Housing and Planning","CLG321","Higher Executive Officer (HEO) - London","33210","38300","Operational Delivery Manager","1.00","Operational Delivery","London"
